,Rainfall Yearly Mean
0,6.051471058657164
1,6.494044279207591
2,7.031588719231698
3,6.09557462103281
4,5.877019689575653
5,7.0616265283766015
6,6.384421527679905
7,7.39179568894337
8,7.338563742341392
9,7.5320527937033415
10,6.139393390220955
11,6.742626280709152
12,6.319335713503726
13,7.510139910129397
14,6.362507096301445
15,7.805212064549091
16,8.366050743481766
17,5.490113475120677
18,7.188110573593905
19,5.9510696208374
20,7.258077474259409
21,7.254474936348667
22,6.7969883880639195
23,7.38415537715606
24,6.717997110601084
25,7.370127282017583
26,7.126543153170754
27,6.422823865080221
28,6.714968881565829
29,6.774910121558678
30,7.504646143884802
31,6.956649653341102
32,8.03074274451593
33,7.590142738644735
34,7.180946124325386
35,7.662236871889672
36,7.037200573605453
37,7.720221936339136
38,6.6196067111190295
39,6.958125144541543
40,6.2684871546919405
41,7.8898087904215775
42,7.329238128856888
43,7.60588330974342
44,7.527557634790076
45,7.567224835616492
46,7.686657687117154
47,7.4495827778571515
48,7.546250387208787
49,7.383019456120394
50,5.818864024101859
51,6.554323705450651
52,7.490556314370994
53,7.271596352424452
54,7.486570411171827
55,7.662520373049029
56,6.678224452347789
57,7.607589990375483
58,7.8473765656401575
59,6.985677210423776
60,8.106703604608246
61,7.003740413563218
62,6.836320749793488
63,7.6718977771649515
64,5.832451953114382
65,6.216183939824248
66,7.002001832684515
67,6.1832460818317285
68,6.754042107894388
69,7.780765677622929
70,7.267853224180544
71,5.420510293422999
72,7.410262438274819
73,6.595817297476001
74,8.154336306287881
75,7.270075082305095
76,7.255303671360474
77,7.559911153869564
78,5.814698795267589
79,7.545166691035148
80,7.078451267501273
81,6.231876337212905
82,7.89650990905122
83,7.07853716267954
84,6.609887035993799
85,6.310716419351342
86,6.096948698742401
87,8.265106967456896
88,7.084953980212384
89,7.632732454398086
90,6.843939016108608
91,6.764415231212594
92,7.149951607018446
93,7.747743479665163
94,7.284975399748111
95,6.988445185645903
96,6.953728197067595
97,7.198416023335607
98,6.585361546495985
99,6.422968981853614
100,6.551736407965209
101,5.688127844283494
102,7.330006381238371
103,6.246731047279609
104,7.101883643341386
105,7.237122273876675
106,7.654222340652507
107,7.297408325661383
108,5.943464038955093
109,7.5547871864880545
110,7.545078148144473
111,6.812128568067975
112,7.5905694486872175
113,6.286836585876024
114,6.26064178308641
115,7.041338944008309
116,6.938051550798953
117,6.531584867749498
118,7.873645953326843
119,7.8438978621368465
120,7.093377376911704
121,7.540476529470908
